"player","pos","age","contract_type","cap_hit","cap_hit_pct_league_cap","team","year"
"Kelenna Azubuike","SF",28,"","$270,738","0.47%","dallas mavericks",2011
"Dirk Nowitzki","PF",34,"","$20,907,128","36.02%","dallas mavericks",2012
"Shawn Marion","SF",34,"","$8,692,881","14.98%","dallas mavericks",2012
"Chris Kaman","C",30,"","$8,000,000","13.78%","dallas mavericks",2012
"O.J. Mayo","SG",25,"","$4,020,000","6.93%","dallas mavericks",2012
"Anthony Morrow","SG",27,"","$4,000,000","6.89%","dallas mavericks",2012
"Vince Carter","SG",36,"","$3,090,000","5.32%","dallas mavericks",2012
"Darren Collison","PG",25,"RK","$2,319,344","4.00%","dallas mavericks",2012
"Rodrigue Beaubois","PG",24,"RK","$2,227,332","3.84%","dallas mavericks",2012
"Elton Brand","PF",33,"","$2,100,500","3.62%","dallas mavericks",2012
"Jared Cunningham","SG",21,"RK","$1,156,320","1.99%","dallas mavericks",2012
"Brandan Wright","PF",25,"","$992,680","1.71%","dallas mavericks",2012
"Jae Crowder","SF",22,"RK","$600,491","1.03%","dallas mavericks",2012
"Bernard James","C",27,"RK","$473,604","0.82%","dallas mavericks",2012
"Mike James","PG",37,"","$402,065","0.69%","dallas mavericks",2012
"Josh Akognon","PG",26,"","$13,930","0.02%","dallas mavericks",2012
"Brendan Haywood","C",33,"Amnesty","-","-","dallas mavericks",2012
"Dirk Nowitzki","PF",35,"","$22,721,381","38.72%","dallas mavericks",2013
"Shawn Marion","SF",35,"","$9,316,796","15.88%","dallas mavericks",2013
"Monta Ellis","SG",28,"","$8,000,000","13.63%","dallas mavericks",2013
"Jose Calderon","PG",32,"","$6,791,570","11.57%","dallas mavericks",2013
"Brandan Wright","PF",26,"","$5,000,000","8.52%","dallas mavericks",2013
"Samuel Dalembert","C",28,"","$4,096,596","6.98%","dallas mavericks",2013
"Vince Carter","SG",37,"","$3,180,000","5.42%","dallas mavericks",2013
"Wayne Ellington","SG",26,"","$2,652,000","4.52%","dallas mavericks",2013
"Shane Larkin","PG",21,"RK","$1,536,960","2.62%","dallas mavericks",2013
"Devin Harris","PG",30,"","$1,265,977","2.16%","dallas mavericks",2013
"DeJaun Blair","C",24,"","$884,293","1.51%","dallas mavericks",2013
"Bernard James","C",28,"","$788,872","1.34%","dallas mavericks",2013
"Jae Crowder","SF",23,"RK","$788,872","1.34%","dallas mavericks",2013
"Ricky Ledo","SG",21,"RK","$544,000","0.93%","dallas mavericks",2013
"Gal Mekel","PG",25,"","$490,180","0.84%","dallas mavericks",2013
"Brendan Haywood","C",34,"Amnesty","-","-","dallas mavericks",2013
"Tyson Chandler","C",32,"","$14,846,887","23.54%","dallas mavericks",2014
"Chandler Parsons","SF",26,"","$14,700,000","23.31%","dallas mavericks",2014
"Rajon Rondo","PG",28,"EXT","$12,909,090","20.47%","dallas mavericks",2014
"Monta Ellis","SG",29,"","$8,360,000","13.26%","dallas mavericks",2014
"Dirk Nowitzki","PF",36,"","$7,974,482","12.64%","dallas mavericks",2014
"Devin Harris","PG",31,"","$3,878,896","6.15%","dallas mavericks",2014
"Raymond Felton","PG",30,"","$3,793,693","6.02%","dallas mavericks",2014
"Al-Farouq Aminu","PF",24,"","$981,084","1.56%","dallas mavericks",2014
"Greg Smith","C",24,"","$948,163","1.50%","dallas mavericks",2014
"Richard Jefferson","SF",34,"","$915,243","1.45%","dallas mavericks",2014
"Charlie Villanueva","PF",30,"","$915,243","1.45%","dallas mavericks",2014
"Jose Barea","PG",30,"","$909,859","1.44%","dallas mavericks",2014
"Dwight Powell","C",23,"RK","$507,336","0.80%","dallas mavericks",2014
"Amar'e Stoudemire","PF",32,"","$306,876","0.49%","dallas mavericks",2014
"Bernard James","C",29,"","$236,886","0.38%","dallas mavericks",2014
"Brendan Haywood","C",35,"Amnesty","-","-","dallas mavericks",2014
"Wesley Matthews","SG",29,"Maximum","$16,407,500","23.44%","dallas mavericks",2015
"Chandler Parsons","SF",27,"","$15,361,500","21.95%","dallas mavericks",2015
"Dirk Nowitzki","PF",37,"","$8,333,334","11.90%","dallas mavericks",2015
"Deron Williams","PG",31,"","$5,378,974","7.68%","dallas mavericks",2015
"Zaza Pachulia","C",31,"","$5,200,000","7.43%","dallas mavericks",2015
"Jose Barea","PG",31,"","$4,290,000","6.13%","dallas mavericks",2015
"Devin Harris","PG",32,"","$4,053,446","5.79%","dallas mavericks",2015
"Raymond Felton","PG",31,"","$3,950,313","5.64%","dallas mavericks",2015
"David Lee","PF",32,"","$2,085,671","2.98%","dallas mavericks",2015
"Justin Anderson","SG",22,"RK","$1,449,000","2.07%","dallas mavericks",2015
"JaVale McGee","C",28,"","$1,270,964","1.82%","dallas mavericks",2015
"Jeremy Evans","SF",28,"","$1,100,602","1.57%","dallas mavericks",2015
"Charlie Villanueva","PF",31,"","$947,276","1.35%","dallas mavericks",2015
"Dwight Powell","C",24,"RK","$845,059","1.21%","dallas mavericks",2015
"Salah Mejri","C",29,"","$525,093","0.75%","dallas mavericks",2015
"Dirk Nowitzki","PF",38,"","$25,000,000","26.56%","dallas mavericks",2016
"Harrison Barnes","PF",24,"Maximum","$22,116,750","23.49%","dallas mavericks",2016
"Wesley Matthews","SG",30,"Maximum","$17,145,838","18.21%","dallas mavericks",2016
"Dwight Powell","C",25,"","$8,375,000","8.90%","dallas mavericks",2016
"Nerlens Noel","C",22,"RK","$4,384,490","4.66%","dallas mavericks",2016
"Devin Harris","PG",33,"","$4,227,996","4.49%","dallas mavericks",2016
"Jose Barea","PG",32,"","$4,096,950","4.35%","dallas mavericks",2016
"Seth Curry","SG",26,"","$2,898,000","3.08%","dallas mavericks",2016
"DeAndre Liggins","SG",28,"","$1,015,696","1.08%","dallas mavericks",2016
"Salah Mejri","C",30,"","$874,636","0.93%","dallas mavericks",2016
"A.J. Hammons","C",24,"RK","$650,000","0.69%","dallas mavericks",2016
"Nicolas Brussino","SF",23,"","$543,471","0.58%","dallas mavericks",2016
"Dorian Finney-Smith","PF",23,"","$543,471","0.58%","dallas mavericks",2016
"Yogi Ferrell","PG",23,"","$207,798","0.22%","dallas mavericks",2016
"Jarrod Uthoff","SF",23,"","$47,953","0.05%","dallas mavericks",2016
"Harrison Barnes","PF",25,"Maximum","$23,112,004","23.32%","dallas mavericks",2017
"Wesley Matthews","SG",31,"Maximum","$17,884,175","18.05%","dallas mavericks",2017
"Dwight Powell","C",26,"","$9,003,125","9.09%","dallas mavericks",2017
"Dirk Nowitzki","PF",39,"","$5,000,000","5.05%","dallas mavericks",2017
"Nerlens Noel","C",23,"QO","$4,187,598","4.23%","dallas mavericks",2017
"Jose Barea","PG",33,"","$3,903,900","3.94%","dallas mavericks",2017
"Doug McDermott","SF",26,"RK","$3,294,994","3.33%","dallas mavericks",2017
"Dennis Smith Jr.","PG",20,"RK","$3,218,280","3.25%","dallas mavericks",2017
"Seth Curry","SG",27,"","$3,028,410","3.06%","dallas mavericks",2017
"Salah Mejri","C",31,"","$1,471,382","1.48%","dallas mavericks",2017
"Yogi Ferrell","PG",24,"","$1,312,611","1.32%","dallas mavericks",2017
"Dorian Finney-Smith","PF",24,"","$1,312,611","1.32%","dallas mavericks",2017
"Maxi Kleber","PF",26,"RK","$815,615","0.82%","dallas mavericks",2017
"Kyle Collinsworth","PG",26,"","$290,304","0.29%","dallas mavericks",2017
"Aaron Harrison","SG",23,"","$91,442","0.09%","dallas mavericks",2017
"Jalen Jones","SF",24,"TW","-","-","dallas mavericks",2017
"Johnathan Motley","PF",22,"TW","-","-","dallas mavericks",2017
"Gian Clavell","SG",24,"TW","-","-","dallas mavericks",2017
"Tim Hardaway Jr.","SG",26,"","$19,200,127","18.85%","dallas mavericks",2018
"Courtney Lee","SG",33,"","$12,253,780","12.03%","dallas mavericks",2018
"Dwight Powell","C",27,"","$9,631,250","9.45%","dallas mavericks",2018
"Luka Doncic","PG",19,"RK","$6,560,640","6.44%","dallas mavericks",2018
"Kristaps Porzingis","PF",23,"RK","$5,697,054","5.59%","dallas mavericks",2018
"Dirk Nowitzki","PF",40,"","$5,000,000","4.91%","dallas mavericks",2018
"Jose Barea","PG",34,"","$3,710,850","3.64%","dallas mavericks",2018
"Justin Jackson","SF",23,"RK","$2,807,880","2.76%","dallas mavericks",2018
"Trey Burke","PG",26,"","$1,795,015","1.76%","dallas mavericks",2018
"Dorian Finney-Smith","PF",25,"","$1,544,951","1.52%","dallas mavericks",2018
"Devin Harris","PG",35,"","$1,512,601","1.48%","dallas mavericks",2018
"Maxi Kleber","PF",27,"RK","$1,378,242","1.35%","dallas mavericks",2018
"Jalen Brunson","PG",22,"RK","$1,230,000","1.21%","dallas mavericks",2018
"Ryan Broekhoff","SF",28,"RK","$838,464","0.82%","dallas mavericks",2018
"Salah Mejri","C",32,"","$512,746","0.50%","dallas mavericks",2018
"Kostas Antetokounmpo","PF",21,"TW","-","-","dallas mavericks",2018
"Daryl Macon","PG",23,"TW","-","-","dallas mavericks",2018
"Kristaps Porzingis","PF",24,"Maximum","$27,285,000","25.00%","dallas mavericks",2019
"Tim Hardaway Jr.","SG",27,"","$20,025,127","18.35%","dallas mavericks",2019
"Courtney Lee","SG",34,"","$12,759,670","11.69%","dallas mavericks",2019
"Dwight Powell","C",28,"","$10,259,375","9.40%","dallas mavericks",2019
"Delon Wright","PG",27,"FA","$9,473,684","8.68%","dallas mavericks",2019
"Maxi Kleber","PF",28,"FA","$8,000,000","7.33%","dallas mavericks",2019
"Luka Doncic","PG",20,"RK","$7,683,360","7.04%","dallas mavericks",2019
"Seth Curry","SG",29,"FA","$7,461,380","6.84%","dallas mavericks",2019
"Dorian Finney-Smith","PF",26,"FA","$4,000,000","3.67%","dallas mavericks",2019
"Boban Marjanovic","C",31,"FA","$3,500,000","3.21%","dallas mavericks",2019
"Justin Jackson","SF",24,"RK","$3,280,920","3.01%","dallas mavericks",2019
"Jose Barea","PG",35,"FA","$1,620,564","1.48%","dallas mavericks",2019
"Jalen Brunson","PG",23,"RK","$1,416,852","1.30%","dallas mavericks",2019
"Michael Kidd-Gilchrist","SF",26,"ROS","$604,278","0.55%","dallas mavericks",2019
"Ryan Broekhoff","SF",29,"ROS","$163,356","0.15%","dallas mavericks",2019
"Trey Burke","PG",27,"ROS","-","-","dallas mavericks",2019
"Josh Reaves","SG",22,"TW","-","-","dallas mavericks",2019
"Antonius Cleveland","SG",25,"TW","-","-","dallas mavericks",2019
"Kristaps Porzingis","PF",25,"Maximum","$29,467,800","27.00%","dallas mavericks",2020
"Tim Hardaway Jr.","SG",28,"","$18,975,000","17.39%","dallas mavericks",2020
"J.J. Redick","SG",36,"FA","$13,013,700","11.92%","dallas mavericks",2020
"Dwight Powell","C",29,"VET-EXT","$11,080,125","10.15%","dallas mavericks",2020
"Josh Richardson","SG",27,"VET-EXT","$10,865,952","9.96%","dallas mavericks",2020
"Maxi Kleber","PF",29,"FA","$8,475,000","7.77%","dallas mavericks",2020
"Luka Doncic","PG",21,"RK","$8,049,360","7.38%","dallas mavericks",2020
"Willie Cauley-Stein","C",27,"FA","$4,100,000","3.76%","dallas mavericks",2020
"Dorian Finney-Smith","PF",27,"FA","$4,000,000","3.67%","dallas mavericks",2020
"Nicolo Melli","PF",30,"FA","$3,897,436","3.57%","dallas mavericks",2020
"Boban Marjanovic","C",32,"FA","$3,500,000","3.21%","dallas mavericks",2020
"Trey Burke","PG",28,"FA","$3,000,000","2.75%","dallas mavericks",2020
"Josh Green","SG",20,"RK","$2,816,760","2.58%","dallas mavericks",2020
"Jalen Brunson","PG",24,"RK","$1,663,861","1.52%","dallas mavericks",2020
"Tyrell Terry","PG",20,"RK","$1,289,846","1.18%","dallas mavericks",2020
"Tyler Bey","SG",22,"TW","-","-","dallas mavericks",2020
"Nate Hinton","SG",21,"TW","-","-","dallas mavericks",2020
"Tim Hardaway Jr.","SG",29,"FA","$21,306,816","18.95%","dallas mavericks",2021
"Spencer Dinwiddie","PG",28,"S&T","$19,314,284","17.18%","dallas mavericks",2021
"Davis Bertans","PF",29,"FA","$16,000,000","14.23%","dallas mavericks",2021
"Dwight Powell","C",30,"VET-EXT","$11,080,125","9.86%","dallas mavericks",2021
"Luka Doncic","PG",22,"RK","$10,174,391","9.05%","dallas mavericks",2021
"Reggie Bullock","SF",30,"FA","$9,536,000","8.48%","dallas mavericks",2021
"Maxi Kleber","PF",30,"FA","$8,750,000","7.78%","dallas mavericks",2021
"Dorian Finney-Smith","PF",28,"FA","$4,000,000","3.56%","dallas mavericks",2021
"Boban Marjanovic","C",33,"FA","$3,500,000","3.11%","dallas mavericks",2021
"Trey Burke","PG",29,"FA","$3,150,000","2.80%","dallas mavericks",2021
"Sterling Brown","SG",26,"FA","$3,000,000","2.67%","dallas mavericks",2021
"Josh Green","SG",21,"RK","$2,957,520","2.63%","dallas mavericks",2021
"Jalen Brunson","PG",25,"RK","$1,802,057","1.60%","dallas mavericks",2021
"Frank Ntilikina","PG",23,"FA","$1,789,256","1.59%","dallas mavericks",2021
"Marquese Chriss","SF",24,"ROS","$958,529","0.85%","dallas mavericks",2021
"Theo Pinson","SG",26,"TW","-","-","dallas mavericks",2021
"Moses Wright","F",23,"TW","-","-","dallas mavericks",2021
"Kyrie Irving","PG",30,"FA","$39,060,807","31.59%","dallas mavericks",2022
"Luka Doncic","PG",23,"DRK-EXT","$37,096,500","30.00%","dallas mavericks",2022
"Tim Hardaway Jr.","SG",30,"FA","$19,602,273","15.85%","dallas mavericks",2022
"Davis Bertans","PF",30,"FA","$16,000,000","12.94%","dallas mavericks",2022
"Christian Wood","C",27,"S&T","$14,317,459","11.58%","dallas mavericks",2022
"Dwight Powell","C",31,"VET-EXT","$11,080,125","8.96%","dallas mavericks",2022
"Reggie Bullock","SF",31,"FA","$10,012,800","8.10%","dallas mavericks",2022
"Maxi Kleber","PF",31,"FA","$9,000,000","7.28%","dallas mavericks",2022
"JaVale McGee","C",35,"FA","$5,461,219","4.42%","dallas mavericks",2022
"Josh Green","SG",22,"RK","$3,098,400","2.51%","dallas mavericks",2022
"Frank Ntilikina","PG",24,"FA","$2,036,318","1.65%","dallas mavericks",2022
"Markieff Morris","PF",33,"FA","$1,836,090","1.48%","dallas mavericks",2022
"Theo Pinson","SG",27,"FA","$1,836,090","1.48%","dallas mavericks",2022
"Jaden Hardy","SG",20,"RK","$1,017,781","0.82%","dallas mavericks",2022
"Justin Holiday","SG",33,"ROS","$569,821","0.46%","dallas mavericks",2022
"McKinley Wright IV","PG",24,"TW","-","-","dallas mavericks",2022
"A.J. Lawson","F",22,"TW","-","-","dallas mavericks",2022
"Luka Doncic","PG",24,"DRK-EXT","$40,064,220","29.45%","dallas mavericks",2023
"Kyrie Irving","PG",31,"FA","$38,037,037","27.96%","dallas mavericks",2023
"Tim Hardaway Jr.","SG",31,"FA","$17,897,728","13.16%","dallas mavericks",2023
"PJ Washington","PF",25,"FA","$16,847,826","12.39%","dallas mavericks",2023
"Daniel Gafford","C",25,"VET-EXT","$12,402,000","9.12%","dallas mavericks",2023
"Maxi Kleber","PF",32,"VET-EXT","$11,000,000","8.09%","dallas mavericks",2023
"Dereck Lively II","C",19,"RK","$4,775,640","3.51%","dallas mavericks",2023
"Josh Green","SG",23,"RK","$4,765,339","3.50%","dallas mavericks",2023
"Dwight Powell","C",32,"FA","$4,000,000","2.94%","dallas mavericks",2023
"Dante Exum","PG",28,"FA","$3,000,000","2.21%","dallas mavericks",2023
"Olivier-Maxence Prosper","PF",21,"RK","$2,733,720","2.01%","dallas mavericks",2023
"Markieff Morris","PF",34,"FA","$2,019,706","1.48%","dallas mavericks",2023
"Derrick Jones Jr.","SF",26,"FA","$2,019,706","1.48%","dallas mavericks",2023
"Jaden Hardy","SG",21,"RK","$1,719,864","1.26%","dallas mavericks",2023
"A.J. Lawson","F",23,"ROS","$1,000,000","0.74%","dallas mavericks",2023
"Greg Brown III","PF",22,"TW","-","-","dallas mavericks",2023
"Brandon Williams","PG",24,"TW","-","-","dallas mavericks",2023
"Alex Fudge","F",20,"TW","-","-","dallas mavericks",2023
"Luka Doncic","PG",25,"DRK-EXT","$43,031,940","30.61%","dallas mavericks",2024
"Kyrie Irving","PG",32,"FA","$41,000,000","29.16%","dallas mavericks",2024
"Klay Thompson","SG",34,"S&T","$15,873,016","11.29%","dallas mavericks",2024
"PJ Washington","PF",26,"FA","$15,500,000","11.03%","dallas mavericks",2024
"Daniel Gafford","C",26,"VET-EXT","$13,394,160","9.53%","dallas mavericks",2024
"Maxi Kleber","PF",33,"VET-EXT","$11,000,000","7.82%","dallas mavericks",2024
"Naji Marshall","SF",27,"FA","$8,571,429","6.10%","dallas mavericks",2024
"Dereck Lively II","C",20,"RK","$5,014,560","3.57%","dallas mavericks",2024
"Quentin Grimes","SG",24,"RK","$4,296,682","3.06%","dallas mavericks",2024
"Dwight Powell","C",33,"FA","$4,000,000","2.85%","dallas mavericks",2024
"Dante Exum","PG",29,"FA","$3,150,000","2.24%","dallas mavericks",2024
"Olivier-Maxence Prosper","PF",22,"RK","$2,870,400","2.04%","dallas mavericks",2024
"A.J. Lawson","F",24,"ROS","$2,120,683","1.51%","dallas mavericks",2024
"Jaden Hardy","SG",22,"RK","$2,019,699","1.44%","dallas mavericks",2024
"Jazian Gortman","G",21,"E10","-","-","dallas mavericks",2024
"Emanuel Miller","SF",24,"E10","-","-","dallas mavericks",2024
"Brandon Williams","PG",25,"TW","-","-","dallas mavericks",2024
"Alex Fudge","F",21,"TW","-","-","dallas mavericks",2024
"Kevin Martin","SG",28,"EXT","$11,519,840","19.85%","houston rockets",2011
"Luis Scola","PF",31,"","$8,591,793","14.80%","houston rockets",2011
"Samuel Dalembert","C",26,"","$7,000,000","12.06%","houston rockets",2011
"Kyle Lowry","PG",25,"","$5,750,000","9.91%","houston rockets",2011
"Courtney Lee","SG",26,"RK","$2,225,092","3.83%","houston rockets",2011
"Goran Dragic","PG",25,"RK","$2,108,000","3.63%","houston rockets",2011
"Patrick Patterson","PF",22,"RK","$1,959,960","3.38%","houston rockets",2011
"Marcus Morris Sr.","SF",22,"RK","$1,823,280","3.14%","houston rockets",2011
"Chase Budinger","SF",23,"RK","$884,293","1.52%","houston rockets",2011
"Chandler Parsons","SF",23,"RK","$850,000","1.46%","houston rockets",2011
"Greg Smith","C",21,"","$473,604","0.82%","houston rockets",2011
"Courtney Fortson","SG",23,"","$118,401","0.20%","houston rockets",2011
"Earl Boykins","PG",35,"","$82,683","0.14%","houston rockets",2011
"Diamon Simpson","PF",24,"","$57,291","0.10%","houston rockets",2011
"Omer Asik","C",26,"","$8,374,646","14.43%","houston rockets",2012
"Jeremy Lin","PG",24,"","$8,374,646","14.43%","houston rockets",2012
"Francisco Garcia","SG",31,"RK-EXT","$6,100,000","10.51%","houston rockets",2012
"James Harden","SG",23,"RK","$5,820,416","10.03%","houston rockets",2012
"Thomas Robinson","PF",21,"RK","$3,374,640","5.81%","houston rockets",2012
"Carlos Delfino","SG",30,"","$3,000,000","5.17%","houston rockets",2012
"Aaron Brooks","PG",28,"","$2,400,000","4.13%","houston rockets",2012
"Royce White","PF",21,"RK","$1,645,440","2.83%","houston rockets",2012
"Terrence Jones","PF",21,"RK","$1,485,000","2.56%","houston rockets",2012
"Donatas Motiejunas","PF",22,"RK","$1,361,400","2.35%","houston rockets",2012
"Chandler Parsons","SF",24,"RK","$888,250","1.53%","houston rockets",2012
"Greg Smith","C",22,"","$762,195","1.31%","houston rockets",2012
"James Anderson","SG",23,"","$532,737","0.92%","houston rockets",2012
"Patrick Beverley","PG",24,"","$281,376","0.48%","houston rockets",2012
"Tim Ohlbrecht","C",24,"RK","$144,867","0.25%","houston rockets",2012
"Luis Scola","PF",32,"Amnesty","-","-","houston rockets",2012
"Dwight Howard","C",28,"Maximum-extension","$20,513,178","34.96%","houston rockets",2013
"James Harden","SG",24,"DRK-EXT","$13,701,250","23.35%","houston rockets",2013
"Omer Asik","C",27,"","$8,374,646","14.27%","houston rockets",2013
"Jeremy Lin","PG",25,"","$8,374,646","14.27%","houston rockets",2013
"Terrence Jones","PF",22,"RK","$1,551,840","2.64%","houston rockets",2013
"Donatas Motiejunas","PF",23,"RK","$1,422,720","2.42%","houston rockets",2013
"Francisco Garcia","SG",32,"","$1,265,977","2.16%","houston rockets",2013
"Jordan Hamilton","SF",23,"RK","$1,169,880","1.99%","houston rockets",2013
"Omri Casspi","SF",25,"","$947,907","1.62%","houston rockets",2013
"Chandler Parsons","SF",25,"RK","$926,500","1.58%","houston rockets",2013
"Patrick Beverley","PG",25,"","$788,872","1.34%","houston rockets",2013
"Isaiah Canaan","PG",22,"RK","$570,515","0.97%","houston rockets",2013
"Robert Covington","PF",23,"RK","$490,180","0.84%","houston rockets",2013
"Troy Daniels","SG",22,"","$158,588","0.27%","houston rockets",2013
"Dexter Pittman","C",25,"","$37,722","0.06%","houston rockets",2013
"Josh Powell","PF",31,"","$13,958","0.02%","houston rockets",2013
"Luis Scola","PF",33,"Amnesty","-","-","houston rockets",2013
"Dwight Howard","C",29,"Maximum-extension","$21,436,271","33.99%","houston rockets",2014
"James Harden","SG",25,"DRK-EXT","$14,728,844","23.36%","houston rockets",2014
"Trevor Ariza","SF",29,"S&T","$8,579,089","13.60%","houston rockets",2014
"Jason Terry","SG",37,"","$5,850,313","9.28%","houston rockets",2014
"Kostas Papanikolaou","SF",24,"RK","$4,797,664","7.61%","houston rockets",2014
"Corey Brewer","SG",28,"","$4,702,500","7.46%","houston rockets",2014
"Josh Smith","SF",29,"","$2,077,000","3.29%","houston rockets",2014
"Pablo Prigioni","PG",37,"","$1,662,961","2.64%","houston rockets",2014
"Terrence Jones","PF",23,"RK","$1,618,680","2.57%","houston rockets",2014
"Donatas Motiejunas","PF",24,"RK","$1,483,920","2.35%","houston rockets",2014
"Clint Capela","C",20,"RK","$1,189,200","1.89%","houston rockets",2014
"Joey Dorsey","PF",31,"","$948,163","1.50%","houston rockets",2014
"Patrick Beverley","PG",26,"","$915,243","1.45%","houston rockets",2014
"K.J. McDaniels","SG",21,"RK","$507,336","0.80%","houston rockets",2014
"Nick Johnson","SG",22,"RK","$507,336","0.80%","houston rockets",2014
"Luis Scola","PF",34,"Amnesty","-","-","houston rockets",2014
"Dwight Howard","C",30,"Maximum-extension","$22,359,364","31.94%","houston rockets",2015
"James Harden","SG",26,"DRK-EXT","$15,756,438","22.51%","houston rockets",2015
"Corey Brewer","SG",29,"","$8,229,375","11.76%","houston rockets",2015
"Trevor Ariza","SF",30,"S&T","$8,193,030","11.70%","houston rockets",2015
"Patrick Beverley","PG",27,"","$6,486,486","9.27%","houston rockets",2015
"K.J. McDaniels","SG",22,"","$3,189,793","4.56%","houston rockets",2015
"Terrence Jones","PF",24,"RK","$2,489,529","3.56%","houston rockets",2015
"Donatas Motiejunas","PF",25,"RK","$2,288,205","3.27%","houston rockets",2015
"Sam Dekker","SF",21,"RK","$1,646,400","2.35%","houston rockets",2015
"Clint Capela","C",21,"RK","$1,242,720","1.78%","houston rockets",2015
"Montrezl Harrell","C",22,"","$1,000,000","1.43%","houston rockets",2015
"Josh Smith","SF",30,"","$947,276","1.35%","houston rockets",2015
"Jason Terry","SG",38,"","$947,276","1.35%","houston rockets",2015
"Michael Beasley","SF",27,"","$228,461","0.33%","houston rockets",2015
"Andrew Goudelock","PG",27,"","$200,600","0.29%","houston rockets",2015
"James Harden","SG",27,"Maximum-extension","$26,540,100","28.19%","houston rockets",2016
"Ryan Anderson","PF",28,"","$18,735,363","19.90%","houston rockets",2016
"Eric Gordon","SG",28,"","$12,385,364","13.16%","houston rockets",2016
"Trevor Ariza","SF",31,"S&T","$7,806,971","8.29%","houston rockets",2016
"Louis Williams","SG",30,"","$7,000,000","7.44%","houston rockets",2016
"Patrick Beverley","PG",28,"","$6,000,000","6.37%","houston rockets",2016
"Nene Hilario","C",34,"","$2,898,000","3.08%","houston rockets",2016
"Sam Dekker","SF",22,"RK","$1,720,560","1.83%","houston rockets",2016
"Clint Capela","C",22,"RK","$1,296,240","1.38%","houston rockets",2016
"Montrezl Harrell","C",23,"","$1,045,000","1.11%","houston rockets",2016
"Bobby Brown","PG",32,"","$680,534","0.72%","houston rockets",2016
"Kyle Wiltjer","PF",24,"RK","$543,471","0.58%","houston rockets",2016
"Chinanu Onuaku","C",20,"RK","$543,471","0.58%","houston rockets",2016
"Isaiah Taylor","PG",22,"","$255,000","0.27%","houston rockets",2016
"Troy Williams","SF",22,"","$76,725","0.08%","houston rockets",2016
"James Harden","SG",28,"Maximum-extension","$28,299,399","28.56%","houston rockets",2017
"Chris Paul","PG",32,"Maximum-extension","$24,599,459","24.82%","houston rockets",2017
"Ryan Anderson","PF",29,"","$19,578,454","19.76%","houston rockets",2017
"Eric Gordon","SG",29,"","$12,943,020","13.06%","houston rockets",2017
"P.J. Tucker","PF",32,"","$7,590,035","7.66%","houston rockets",2017
"Trevor Ariza","SF",32,"S&T","$7,420,912","7.49%","houston rockets",2017
"Nene Hilario","C",35,"","$3,477,600","3.51%","houston rockets",2017
"Tarik Black","PF",26,"","$3,290,000","3.32%","houston rockets",2017
"Clint Capela","C",23,"RK","$2,334,528","2.36%","houston rockets",2017
"Luc Richard Mbah a Moute","PF",31,"","$1,471,382","1.48%","houston rockets",2017
"Chinanu Onuaku","C",21,"RK","$1,312,611","1.32%","houston rockets",2017
"Gerald Green","SG",32,"","$872,854","0.88%","houston rockets",2017
"Zhou Qi","PF",22,"RK","$815,615","0.82%","houston rockets",2017
"Joe Johnson","SG",36,"","$473,835","0.48%","houston rockets",2017
"Aaron Jackson","G",31,"","$4,608","0.00%","houston rockets",2017
"Markel Brown","SG",26,"TW","-","-","houston rockets",2017
"R.J. Hunter","SG",24,"TW","-","-","houston rockets",2017
"Chris Paul","PG",33,"Maximum","$35,654,150","35.00%","houston rockets",2018
"James Harden","SG",29,"Maximum-extension","$30,421,854","29.86%","houston rockets",2018
"Clint Capela","C",24,"","$13,793,103","13.54%","houston rockets",2018
"Eric Gordon","SG",30,"","$13,500,375","13.25%","houston rockets",2018
"Iman Shumpert","SG",28,"","$11,011,236","10.81%","houston rockets",2018
"P.J. Tucker","PF",33,"","$7,969,537","7.82%","houston rockets",2018
"Nene Hilario","C",36,"","$3,651,480","3.58%","houston rockets",2018
"Gerald Green","SG",33,"","$1,512,601","1.48%","houston rockets",2018
"Markel Brown","SG",27,"TW","$1,443,842","1.42%","houston rockets",2018
"Austin Rivers","SG",26,"","$922,943","0.91%","houston rockets",2018
"Isaiah Hartenstein","C",20,"RK","$838,464","0.82%","houston rockets",2018
"Kenneth Faried","PF",29,"","$683,661","0.67%","houston rockets",2018
"Gary Clark","PF",24,"","$596,872","0.59%","houston rockets",2018
"Danuel House Jr.","SF",25,"","$247,827","0.24%","houston rockets",2018
"Chris Chiozza","PG",23,"","$90,005","0.09%","houston rockets",2018
"Michael Frazier","SG",24,"ROS","$23,685","0.02%","houston rockets",2018
"Vince Edwards","SF",22,"TW","-","-","houston rockets",2018
"Trevon Duval","PG",20,"TW","-","-","houston rockets",2018
"Russell Westbrook","PG",31,"DVET-EXT","$38,506,482","35.28%","houston rockets",2019
"James Harden","SG",30,"DVET-EXT","$38,199,000","35.00%","houston rockets",2019
"Trevon Duval","PG",21,"TW","$14,456,970","13.25%","houston rockets",2019
"Eric Gordon","SG",31,"","$14,057,730","12.88%","houston rockets",2019
"Robert Covington","PF",29,"VET-EXT","$11,301,219","10.35%","houston rockets",2019
"P.J. Tucker","PF",34,"","$8,349,039","7.65%","houston rockets",2019
"Danuel House Jr.","SF",26,"FA","$3,540,000","3.24%","houston rockets",2019
"Austin Rivers","SG",27,"FA","$2,174,318","1.99%","houston rockets",2019
"Ben McLemore","SF",26,"FA","$2,028,594","1.86%","houston rockets",2019
